DATE,COE,GVA,OUTPUT,IC,D29-D39,INDUSTRY
1999,1508,6295,8395,2100,121,100
1999,982,2368,7566,5198,114,101
1999,4989,6316,8481,2165,74,102
1999,739,1173,2518,1345,34,103
1999,1809,7613,13064,5451,161,104
1999,3468,3785,3785,0,0,105
2000,2785,7749,17354,9605,-200,1
2000,162,265,671,406,4,2
2000,63,398,954,556,12,3
2000,337,420,1276,856,23,4
2000,1626,20248,26070,5822,68,5
2000,1147,1596,4431,2835,60,6
2000,182,1973,2663,690,9,7
2000,2145,2744,9765,7021,27,8
2000,1315,1933,5588,3655,22,9
2000,148,202,1195,993,3,10
2000,1057,1398,6255,4857,19,11
2000,556,719,4578,3859,12,12
2000,2240,2717,6740,4023,46,13
2000,2981,4808,12028,7220,49,14
2000,591,822,3425,2603,14,15
2000,1493,4413,9165,4752,63,16
2000,284,898,3022,2124,23,17
2000,2614,3071,7645,4574,64,18
2000,1940,2408,5391,2983,51,19
2000,429,614,1218,604,7,20
2000,1449,2133,5523,3390,60,21
2000,2777,3601,10726,7125,82,22
2000,4150,6480,13455,6975,110,23
2000,1579,1825,13756,11931,41,24
2000,787,935,2941,2006,19,25
2000,1150,2054,5203,3149,28,26
2000,1170,1869,4628,2759,24,27
2000,656,968,3144,2176,22,28
2000,2278,3308,12081,8773,68,29
2000,490,820,2102,1282,11,30
2000,2607,6937,12690,5753,36,31
2000,5700,7476,17702,10226,156,32
2000,1431,2081,5323,3242,47,33
2000,2123,2825,6054,3229,74,34
2000,1837,2249,8311,6062,79,35
2000,1603,2004,7507,5503,52,36
2000,401,699,1673,974,6,37
2000,9442,11730,23851,12121,218,38
2000,6791,10139,32106,21967,148,39
2000,3868,5325,12472,7147,85,40
2000,7720,10520,27555,17035,170,41
2000,7133,9429,33598,24169,148,42
2000,866,1049,2145,1096,13,43
2000,3212,5727,14277,8550,39,44
2000,349,542,1983,1441,7,45
2000,2294,3164,7453,4289,68,46
2000,1953,2926,6773,3847,60,47
2000,266,353,675,322,4,48
2000,778,1337,3283,1946,9,49
2000,2768,4899,12510,7611,53,50
2000,2601,9223,34220,24997,783,51
2000,1429,3059,11177,8118,233,52
2000,736,2952,4334,1382,228,53
2000,740,2700,4130,1430,42,54
2000,1176,3587,10535,6948,151,55
2000,33,24,82,58,2,56
2000,27542,57478,134074,76596,674,57
2000,9808,14557,29379,14822,654,58
2000,26825,40034,89609,49575,1237,59
2000,29038,55821,87445,31624,3341,60
2000,2136,2439,6832,4393,-103,61
2000,12088,16732,33507,16775,466,62
2000,1286,1614,4926,3312,13,63
2000,3136,5473,14328,8855,0,64
2000,7897,11570,27266,15696,513,65
2000,6216,7340,11398,4058,192,66
2000,4599,6908,14475,7567,345,67
2000,12889,19041,40446,21405,878,68
2000,6642,11000,22054,11054,92,69
2000,3760,9115,15217,6102,134,70
2000,9883,19460,34575,15115,216,71
2000,14041,18533,31299,12766,204,72
2000,1647,2555,4093,1538,44,73
2000,24464,29982,78237,48255,763,74
2000,4958,11557,33428,21871,309,75
2000,6694,8186,16339,8153,145,76
2000,5366,17977,31941,13964,-286,77
2000,0,111389,122956,11567,0,78
2000,1734,3484,4497,1013,78,79
2000,5274,10118,15140,5022,213,80
2000,4923,8699,11843,3144,108,81
2000,4687,7364,14177,6813,173,82
2000,10108,14580,23682,9102,196,83
2000,2495,6193,8575,2382,39,84
2000,3151,5360,9002,3642,107,85
2000,3392,4806,8739,3933,94,86
2000,867,1233,1900,667,16,87
2000,5439,8807,15328,6521,218,88
2000,6554,10107,18709,8602,243,89
2000,3403,4521,11490,6969,74,90
2000,1078,1782,3266,1484,15,91
2000,2601,4618,8617,3999,43,92
2000,6852,9990,18591,8601,180,93
2000,38011,47694,82787,35093,0,94
2000,46118,52091,65605,13514,140,95
2000,29969,41397,56519,15122,37,96
2000,12607,17444,27061,9617,60,97
2000,1072,2027,4835,2808,41,98
2000,1456,1627,3088,1461,7,99
2000,1784,6485,8995,2510,146,100
2000,1179,2583,7822,5239,146,101
2000,5090,6695,9247,2552,79,102
2000,848,1256,2994,1738,35,103
2000,2003,8285,13964,5679,193,104
2000,3662,3994,3994,0,0,105
2001,2792,7666,16479,8813,-521,1
2001,173,320,726,406,3,2
2001,64,340,969,629,10,3
2001,313,692,1332,640,15,4
2001,1683,18526,24489,5963,107,5
2001,1120,1890,4763,2873,59,6
2001,189,1814,2511,697,28,7
2001,2144,2802,9782,6980,28,8
2001,1324,1966,5720,3754,23,9
2001,326,469,1793,1324,5,10
2001,1059,1377,5760,4383,15,11
2001,594,774,4608,3834,12,12
2001,2254,2675,6592,3917,50,13
2001,3074,4871,12429,7558,52,14
2001,581,796,3417,2621,12,15
2001,1463,4012,8837,4825,69,16
2001,302,951,3214,2263,23,17
2001,2513,2949,7164,4215,66,18
2001,1685,2179,4700,2521,39,19
2001,370,487,1066,579,8,20
2001,1485,2133,5795,3662,54,21
2001,2702,3453,10280,6827,75,22
2001,4208,6491,13317,6826,150,23
2001,1549,1650,13086,11436,39,24
2001,793,1017,3035,2018,22,25
2001,1192,2143,5447,3304,24,26
2001,1108,1658,4665,3007,25,27
2001,633,1091,3441,2350,24,28
2001,2187,3465,12904,9439,60,29
2001,493,834,2183,1349,14,30
2001,3105,8433,14450,6017,43,31
2001,5794,7332,17838,10506,168,32
2001,1421,2212,5338,3126,39,33
2001,2095,2906,6064,3158,71,34
2001,1756,2011,7938,5927,65,35
2001,1523,1860,6905,5045,55,36
2001,357,449,1545,1096,7,37
2001,9353,11311,23761,12450,224,38
2001,7216,8046,29547,21501,143,39
2001,3769,5303,12993,7690,88,40
2001,7652,9887,25978,16091,174,41
2001,6981,8484,33559,25075,141,42
2001,746,675,2030,1355,16,43
2001,3442,6197,14528,8331,40,44
2001,397,542,2271,1729,7,45
2001,2357,3176,7548,4372,72,46
2001,2099,3206,7226,4020,72,47
2001,236,238,670,432,4,48
2001,829,1222,3474,2252,9,49
2001,2685,3356,10033,6677,51,50
2001,2560,8387,32245,23858,727,51
2001,1434,3328,11557,8229,277,52
2001,775,3264,4665,1401,216,53
2001,807,2900,4634,1734,42,54
2001,1331,3785,11209,7424,153,55
2001,36,27,87,60,2,56
2001,29335,59424,142256,82832,559,57
2001,10776,17242,31564,14322,614,58
2001,28873,44220,96700,52480,1337,59
2001,31460,59530,93800,34270,3551,60
2001,2294,2691,7246,4555,-112,61
2001,12655,17120,34850,17730,344,62
2001,1408,1688,5437,3749,11,63
2001,3057,5034,13687,8653,0,64
2001,8155,11979,28506,16527,479,65
2001,6973,7598,12021,4423,192,66
2001,4943,7360,14979,7619,407,67
2001,13852,20140,42529,22389,892,68
2001,6788,11005,21923,10918,81,69
2001,4294,9865,16795,6930,73,70
2001,11303,19304,35293,15989,270,71
2001,16223,20163,34716,14553,258,72
2001,1876,2764,4503,1739,47,73
2001,25344,30258,79738,49480,859,74
2001,4525,12555,41671,29116,317,75
2001,7345,8882,17520,8638,150,76
2001,5580,18852,33640,14788,-185,77
2001,0,114527,127535,13008,0,78
2001,1850,3809,4924,1115,112,79
2001,6369,11462,17169,5707,225,80
2001,5702,9549,13055,3506,117,81
2001,5353,8349,16193,7844,170,82
2001,11015,15121,25234,10113,203,83
2001,2605,6298,8301,2003,72,84
2001,3719,6182,10466,4284,97,85
2001,3707,4964,9000,4036,70,86
2001,957,1313,2024,711,15,87
2001,5885,9514,16543,7029,185,88
2001,7152,10607,19687,9080,83,89
2001,3533,4625,12130,7505,86,90
2001,1181,1892,3457,1565,11,91
2001,2800,4886,9001,4115,48,92
2001,7479,10323,18997,8674,153,93
2001,40133,50230,88551,38321,0,94
2001,50112,56448,71523,15075,134,95
2001,33056,45385,61183,15798,36,96
2001,14360,18571,28874,10303,41,97
2001,1177,2057,5124,3067,31,98
2001,1503,1737,3276,1539,11,99
2001,1915,6570,9459,2889,160,100
2001,1348,2678,8531,5853,134,101
2001,5660,7345,10183,2838,76,102
2001,900,1169,2739,1570,29,103
2001,2236,8846,14800,5954,209,104
2001,3855,4212,4212,0,0,105
2002,2572,7795,16983,9188,-396,1
2002,175,295,733,438,2,2
2002,67,377,1000,623,11,3
2002,319,499,1062,563,17,4
2002,1523,17839,23447,5608,62,5
2002,1006,2007,4764,2757,46,6
2002,172,1946,2610,664,12,7
2002,2230,2810,10244,7434,27,8
2002,1336,1876,5643,3767,20,9
2002,318,513,1970,1457,3,10
2002,1136,1502,5767,4265,17,11
2002,668,865,4963,4098,12,12
2002,2292,2806,6790,3984,51,13
2002,3230,5221,12836,7615,65,14
2002,567,809,3603,2794,9,15
2002,1570,4020,8624,4604,61,16
2002,291,891,3104,2213,13,17
2002,2164,2608,6794,4186,64,18
2002,1243,1728,4421,2693,32,19
2002,317,461,1004,543,8,20
2002,1520,2341,6191,3850,59,21
2002,2691,3625,10551,6926,72,22
2002,4183,6675,13529,6854,183,23
2002,1575,1965,13264,11299,30,24
2002,786,990,3049,2059,18,25
2002,1105,2113,5393,3280,26,26
2002,1154,1613,4474,2861,23,27
2002,641,1156,3506,2350,26,28
2002,2269,3708,13187,9479,64,29
2002,405,818,2249,1431,16,30
2002,2948,8362,15793,7431,74,31
2002,5676,7533,17910,10377,160,32
2002,1531,2331,5491,3160,60,33
2002,2076,3010,6227,3217,69,34
2002,1501,1699,7279,5580,64,35
2002,1419,1637,6801,5164,55,36
2002,362,386,1401,1015,4,37
2002,9379,11331,23765,12434,249,38
2002,6591,6970,26093,19123,131,39
2002,3556,4784,12579,7795,92,40
2002,7456,9656,24980,15324,170,41
2002,7089,8054,35133,27079,149,42
2002,728,902,1993,1091,11,43
2002,3458,5940,13057,7117,34,44
2002,464,571,2274,1703,6,45
2002,2294,3169,7614,4445,78,46
2002,1928,3146,7335,4189,58,47
2002,223,259,522,263,2,48
2002,826,1107,2705,1598,5,49
2002,2496,3133,8381,5248,49,50
2002,2662,9383,32049,22666,731,51
2002,1503,3375,11617,8242,259,52
2002,619,3103,4452,1349,209,53
2002,834,3076,4903,1827,48,54
2002,1776,4515,12653,8138,179,55
2002,38,30,94,64,2,56
2002,31170,67978,157672,89694,625,57
2002,11724,17062,32956,15894,596,58
2002,28704,42197,93594,51397,1155,59
2002,33138,62532,99188,36656,3767,60
2002,2504,2816,7707,4891,-201,61
2002,12304,17583,35382,17799,341,62
2002,1622,1942,5823,3881,22,63
2002,3136,5231,13092,7861,0,64
2002,9072,12423,29607,17184,512,65
2002,7271,8204,13418,5214,203,66
2002,5175,7784,15801,8017,432,67
2002,14497,21413,45362,23949,1049,68
2002,6771,11090,21878,10788,82,69
2002,4513,10508,18366,7858,-1,70
2002,11612,20720,37371,16651,516,71
2002,17020,22110,37553,15443,241,72
2002,1971,3087,4953,1866,40,73
2002,23922,36667,84108,47441,884,74
2002,4131,9772,43542,33770,335,75
2002,7603,9624,19296,9672,157,76
2002,5417,19526,35240,15714,-121,77
2002,0,116065,130801,14736,0,78
2002,1903,4239,5499,1260,129,79
2002,6826,12402,18743,6341,237,80
2002,5832,9819,13501,3682,113,81
2002,5759,9060,17380,8320,141,82
2002,11685,16571,27642,11071,197,83
2002,2910,7009,9666,2657,72,84
2002,3827,6941,11618,4677,132,85
2002,3864,5542,9776,4234,69,86
2002,1043,1444,2167,723,9,87
2002,5855,10013,17219,7206,199,88
2002,7420,11143,20453,9310,98,89
2002,3880,5055,12787,7732,107,90
2002,1218,1970,3594,1624,14,91
2002,2901,5207,9550,4343,43,92
2002,7775,10466,19621,9155,159,93
2002,42378,52984,95718,42734,0,94
2002,53980,61338,79069,17731,172,95
2002,36167,49857,66208,16351,35,96
2002,15532,20078,32053,11975,65,97
2002,1248,2135,5503,3368,18,98
2002,1571,1841,3586,1745,7,99
2002,2055,7425,11140,3715,154,100
2002,1465,3020,9546,6526,174,101
2002,6226,8120,11164,3044,78,102
2002,898,1156,2600,1444,33,103
2002,2357,9383,15590,6207,219,104
2002,4082,4469,4469,0,0,105
2003,2659,8789,18111,9322,-400,1
2003,174,318,781,463,5,2
2003,71,355,988,633,9,3
2003,259,400,862,462,14,4
2003,1448,17800,23643,5843,44,5
2003,1021,1897,4929,3032,49,6
2003,169,1908,2584,676,4,7
2003,2327,3118,10987,7869,29,8
2003,1447,2258,6212,3954,21,9
2003,228,773,1685,912,-1,10
2003,1223,2014,6586,4572,13,11
2003,717,858,5041,4183,19,12
2003,2394,3215,7318,4103,51,13
2003,3381,5660,13374,7714,54,14
2003,531,995,3373,2378,8,15
2003,1591,4144,9077,4933,49,16
2003,316,808,3138,2330,10,17
2003,1973,2303,6146,3843,54,18
2003,1196,2029,4599,2570,39,19
2003,234,322,767,445,1,20
2003,1617,2426,6274,3848,63,21
2003,2619,3162,9435,6273,74,22
2003,4203,5971,12755,6784,130,23
2003,1698,1247,13302,12055,22,24
2003,790,1203,3103,1900,12,25
2003,1169,2250,5565,3315,21,26
2003,1179,2010,4983,2973,25,27
2003,637,811,3181,2370,16,28
2003,2280,4185,13862,9677,56,29
2003,504,1067,2474,1407,10,30
2003,3394,9801,17388,7587,40,31
2003,5763,7239,18024,10785,154,32
2003,1642,2701,6087,3386,53,33
2003,2135,2421,5667,3246,60,34
2003,1460,1987,7572,5585,55,35
2003,1358,1160,6332,5172,50,36
2003,389,-113,952,1065,1,37
2003,9457,11439,23962,12523,238,38
2003,5990,4839,20613,15774,116,39
2003,3445,5062,12148,7086,81,40
2003,7425,7928,22359,14431,143,41
2003,6707,8081,36509,28428,150,42
2003,716,612,1853,1241,12,43
2003,3728,6723,13677,6954,30,44
2003,489,760,2670,1910,3,45
2003,2221,2670,6976,4306,75,46
2003,1966,3044,6951,3907,62,47
2003,229,66,444,378,1,48
2003,837,1452,3102,1650,3,49
2003,2345,3569,8343,4774,44,50
2003,2678,9750,32517,22767,799,51
2003,1553,3547,12269,8722,261,52
2003,668,3137,4494,1357,189,53
2003,890,3327,5084,1757,51,54
2003,2270,5446,14260,8814,194,55
2003,41,137,203,66,2,56
2003,33197,71304,170568,99264,641,57
2003,12419,19267,36509,17242,662,58
2003,29633,44851,97397,52546,1121,59
2003,35133,64679,103849,39170,3847,60
