START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
725,596,0.00096866,0.000570267,-0.000398393,0.000398393,41.12825966,79,Estate agency,1
9505,16520,0.01269946,0.015806722,0.003107261,0.003107261,24.4676624,80,Legal services,1
6088,9945,0.008134068,0.009515608,0.00138154,0.00138154,16.98461336,81,Accountancy and tax consultancy,1
13535,23400,0.018083871,0.022389666,0.004305795,0.004305795,23.81013999,82,Head offices and management consultancy,1
14445,22588,0.019299706,0.021612726,0.00231302,0.00231302,11.98474215,83,Architecture,1
650,1813,0.000868453,0.001734721,0.000866267,0.000866267,99.74828805,84,Research and development,1
13037,21567,0.017418502,0.020635809,0.003217307,0.003217307,18.47062968,85,Advertising and market research,1
7471,9545,0.009981869,0.009132879,-0.000848991,0.000848991,8.505331016,86,"Other professional, scientific and technical activities",1
238,266,0.000317988,0.000254515,-6.35E-05,6.35E-05,19.96930702,87,Veterinary activities,1
9568,17562,0.012783634,0.016803732,0.004020098,0.004020098,31.44722385,88,Rental and leasing exc. real estate,1
15027,26360,0.020077306,0.025221863,0.005144558,0.005144558,25.62374653,89,Employment agency activities,1
8796,13003,0.011752178,0.012441574,0.000689396,0.000689396,5.866112647,90,Travel agency activities,1
2510,4578,0.003353566,0.004380337,0.001026771,0.001026771,30.61728918,91,Security and investigation,1
6794,9555,0.009077342,0.009142447,6.51E-05,6.51E-05,0.717170291,92,Building maintenance and landscaping,1
11225,20644,0.014997522,0.019752661,0.00475514,0.00475514,31.70617119,93,Business and admin support,1
3365,8861,0.004495916,0.008478412,0.003982495,0.003982495,88.58028041,94,Public administration and defence,1
8224,14935,0.010987939,0.014290157,0.003302217,0.003302217,30.05310641,95,Education,1
2502,942,0.003342877,0.000901328,-0.00244155,0.00244155,73.03738666,96,Health,1
2761,5647,0.003688923,0.005403181,0.001714259,0.001714259,46.47044679,97,Residential care and social work,1
1122,1529,0.001499084,0.001462983,-3.61E-05,3.61E-05,2.408137236,98,Creative and entertainment activities,1
1230,1645,0.001643381,0.001573974,-6.94E-05,6.94E-05,4.22300124,99,Libraries and museums,1
1444,2815,0.001929303,0.002693458,0.000764155,0.000764155,39.60782728,100,Gambling,1
787,1019,0.001051497,0.000975003,-7.65E-05,7.65E-05,7.275341727,101,Sports and recreation,1
2237,3438,0.002988816,0.003289559,0.000300743,0.000300743,10.06227884,102,Membership organisations,1
896,1937,0.00119713,0.001853367,0.000656237,0.000656237,54.81752191,103,Repair of computers and household goods,1
794,2855,0.001060849,0.002731731,0.001670881,0.001670881,157.5041311,104,Other personal services,1
0,0,0,0,0,0,0,105,Direct employment of domestic staff,1
11206,16129,0.01047797,0.011344095,0.000866125,0.000866125,8.266152699,1,Agricultural products,0
551,669,0.000515203,0.000470531,-4.47E-05,4.47E-05,8.676191715,2,Forestry products and services,0
948,1072,0.00088641,0.000753975,-0.000132435,0.000132435,14.94060311,3,Fish,0
2300,4061,0.002150574,0.002856245,0.000705671,0.000705671,32.81314663,4,Coal,0
29831,53558,0.027892943,0.037669231,0.009776289,0.009776289,35.04932771,5,"Oil, gas and metal ores",0
5305,5032,0.004960345,0.003539183,-0.001421162,0.001421162,28.65046685,6,Other mining products,0
2920,4059,0.002730294,0.002854838,0.000124544,0.000124544,4.561560037,7,Oil and gas support services,0
