START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
10569,11410.59662,0.014121052,0.015245494,-0.001124442,0.001124442,7.962878375,77,"Real estate purchase, leasing and sale exc. estate agency",1
0,0,0,0,0,0,0,78,Imputed activity of owner-occupiers,1
725,359.5188941,0.00096866,0.000480347,0.000488313,0.000488313,50.41118702,79,Estate agency,1
9505,10288.76227,0.01269946,0.013746631,-0.001047171,0.001047171,8.245789265,80,Legal services,1
6088,6496.342623,0.008134068,0.008679647,-0.000545579,0.000545579,6.707336128,81,Accountancy and tax consultancy,1
13535,14968.29645,0.018083871,0.019998873,-0.001915002,0.001915002,10.5895563,82,Head offices and management consultancy,1
14445,14736.53774,0.019299706,0.019689224,-0.000389518,0.000389518,2.018260546,83,Architecture,1
650,1009.093168,0.000868453,0.001348231,-0.000479778,0.000479778,55.24510272,84,Research and development,1
13037,14736.77606,0.017418502,0.019689543,-0.00227104,0.00227104,13.03809201,85,Advertising and market research,1
7471,5962.280677,0.009981869,0.007966096,0.002015773,0.002015773,20.19434244,86,"Other professional, scientific and technical activities",1
238,276.0690948,0.000317988,0.000368851,-5.08634E-05,5.08634E-05,15.995418,87,Veterinary activities,1
9568,11958.51713,0.012783634,0.015977561,-0.003193927,0.003193927,24.9845018,88,Rental and leasing exc. real estate,1
15027,17491.98246,0.020077306,0.023370725,-0.003293419,0.003293419,16.40368977,89,Employment agency activities,1
8796,8537.413128,0.011752178,0.011406685,0.000345493,0.000345493,2.939823468,90,Travel agency activities,1
2510,2835.210508,0.003353566,0.003788074,-0.000434508,0.000434508,12.95659395,91,Security and investigation,1
6794,6071.951545,0.009077342,0.008112626,0.000964716,0.000964716,10.62773704,92,Building maintenance and landscaping,1
11225,12767.01593,0.014997522,0.017057781,-0.00206026,0.00206026,13.7373357,93,Business and admin support,1
3365,5327.625282,0.004495916,0.007118145,-0.002622229,0.002622229,58.32467406,94,Public administration and defence,1
8224,9200.303739,0.010987939,0.012292361,-0.001304422,0.001304422,11.87139761,95,Education,1
2502,594.8163465,0.003342877,0.000794723,0.002548154,0.002548154,76.22636505,96,Health,1
2761,2999.920921,0.003688923,0.004008141,-0.000319218,0.000319218,8.653419811,97,Residential care and social work,1
1122,953.6785301,0.001499084,0.001274193,0.000224891,0.000224891,15.00191353,98,Creative and entertainment activities,1
1230,1020.526067,0.001643381,0.001363507,0.000279874,0.000279874,17.03040104,99,Libraries and museums,1
1444,1693.896258,0.001929303,0.002263184,-0.000333882,0.000333882,17.30583504,100,Gambling,1
787,620.0971599,0.001051497,0.000828501,0.000222996,0.000222996,21.20747651,101,Sports and recreation,1
2237,2109.841447,0.002988816,0.002818921,0.000169894,0.000169894,5.684334055,102,Membership organisations,1
